symptoms,disease,specialization
"persistent cough,blood in sputum,chest pain,weakness",Tuberculosis,Pulmonologist
"anxiety,restlessness,rapid heartbeat,sweating,panic",Anxiety Disorder,Psychiatrist
"excessive worry,sleep problems,irritability,concentration issues",Anxiety Disorder,Psychiatrist
"sadness,loss of interest,fatigue,sleep changes,hopelessness",Depression,Psychiatrist
"low mood,worthlessness,appetite changes,concentration issues",Depression,Psychiatrist
"frequent urination at night,weak urine stream,difficulty urinating",Prostate Issues,Urologist
"incomplete bladder emptying,urgency,dribbling urine",Prostate Issues,Urologist
"irregular periods,pelvic pain,bloating,hormonal changes",PCOD,Gynaecologist
"heavy periods,acne,weight gain,excess hair growth",PCOD,Gynaecologist
"painful periods,severe cramps,nausea,back pain",Dysmenorrhea,Gynaecologist
"menstrual cramps,heavy bleeding,pelvic pain,fatigue",Dysmenorrhea,Gynaecologist
"knee pain,swelling,difficulty climbing stairs,stiffness",Knee Problem,Orthopedist
"knee clicking,locking,instability,pain on movement",Knee Problem,Orthopedist
"shoulder pain,limited movement,stiffness,pain at night",Shoulder Problem,Orthopedist
"neck pain,stiffness,headache,arm numbness",Cervical Spondylosis,Orthopedist
"neck ache,shoulder pain,tingling in hands,dizziness",Cervical Spondylosis,Orthopedist
"frequent headaches,concentration problems,sleep issues,stress",Tension Headache,Neurologist
"dull headache,pressure around head,neck stiffness",Tension Headache,Neurologist
"abdominal pain,bloating,constipation,diarrhoea,gas",IBS,Gastroenterologist
"alternating constipation and diarrhoea,cramping,bloating",IBS,Gastroenterologist
"hair loss,thinning hair,bald patches,scalp itching",Alopecia,Dermatologist
"excessive hair fall,receding hairline,scalp problems",Alopecia,Dermatologist
"dry eyes,eye strain,blurred vision,eye fatigue",Eye Strain,Ophthalmologist
"nasal congestion,facial pain,headache,thick nasal discharge",Sinusitis,ENT Specialist
"sinus pressure,pain around eyes,blocked nose,post nasal drip",Sinusitis,ENT Specialist
"itchy eyes,sneezing,runny nose,congestion,watery eyes",Allergic Rhinitis,ENT Specialist
"seasonal allergies,nasal congestion,itchy throat,sneezing",Allergic Rhinitis,ENT Specialist
"burning stomach,pain after eating,nausea,bloating",Gastritis,Gastroenterologist
"stomach inflammation,loss of appetite,indigestion,vomiting",Gastritis,Gastroenterologist
"swollen lymph nodes,fever,sore throat,fatigue",Tonsillitis,ENT Specialist
"severe sore throat,difficulty swallowing,swollen glands,fever",Tonsillitis,ENT Specialist
"weight gain,fatigue,cold intolerance,dry skin,hair loss",Hypothyroidism,Endocrinologist
"slow metabolism,constipation,depression,muscle weakness",Hypothyroidism,Endocrinologist
"weight loss,rapid heartbeat,heat intolerance,sweating",Hyperthyroidism,Endocrinologist
"anxiety,tremors,frequent bowel movements,eye bulging",Hyperthyroidism,Endocrinologist
"chest pain,shortness of breath,cough,fever,chills",Pneumonia,Pulmonologist
"productive cough,high fever,breathing difficulty,chest pain",Pneumonia,Pulmonologist
"chronic cough,mucus production,shortness of breath,wheezing",COPD,Pulmonologist
"sudden dizziness,loss of balance,nausea,ringing in ears",Vertigo,ENT Specialist
"spinning sensation,difficulty standing,nausea,hearing loss",Vertigo,ENT Specialist
"kidney pain,back pain,frequent urination,blood in urine",Kidney Stones,Urologist
"severe flank pain,painful urination,nausea,vomiting",Kidney Stones,Urologist
"swollen ankles,fatigue,shortness of breath,weight gain",Heart Failure,Cardiologist
"jaundice,fatigue,abdominal swelling,dark urine,nausea",Liver Disease,Gastroenterologist
"itchy scalp,dandruff,flaky scalp,scalp redness",Dandruff,Dermatologist
"burning sensation,numbness,tingling feet,pain at night",Neuropathy,Neurologist
"high fever,stiff neck,sensitivity to light,severe headache",Meningitis,Neurologist
"fever,swollen lymph nodes,sore throat,fatigue,rash",Viral Fever,General Physician
"body pain,high temperature,weakness,loss of appetite",Viral Fever,General Physician
"blood in stool,rectal pain,anal itching,painful bowel",Piles,Gastroenterologist
"hemorrhoids,rectal bleeding,discomfort,swelling near anus",Piles,Gastroenterologist
"bloating,gas,abdominal discomfort,belching,indigestion",Indigestion,Gastroenterologist
"stomach discomfort after eating,fullness,nausea,belching",Indigestion,Gastroenterologist
"dizziness on standing,low blood pressure,fainting,weakness",Low Blood Pressure,General Physician
"wrist pain,numbness in fingers,tingling,weakness in hand",Carpal Tunnel Syndrome,Orthopedist
"foot pain,heel pain,pain while walking,arch pain",Plantar Fasciitis,Orthopedist
"ringworm,circular rash,itchy ring,skin fungus",Ringworm,Dermatologist
"psoriasis,silvery scales,red patches,dry cracked skin",Psoriasis,Dermatologist
"painful joints,red skin rash on face,sensitivity to sunlight",Lupus,Rheumatologist
"butterfly rash,joint pain,hair loss,mouth sores",Lupus,Rheumatologist
"mouth sores,ulcers,painful lesions,difficulty eating",Mouth Ulcers,General Physician
"toothache,swollen gums,jaw pain,sensitivity to temperature",Dental Problem,Dentist
"bleeding gums,tooth sensitivity,bad breath,gum pain",Dental Problem,Dentist
